title;artist;lyrics;filename
All I Want For Christmas Is You;Mariah Carey;light christmas hold snow keep outside click lot wish come yeah everywhere care ever present north ah ooh list oh toy know one mistletoe bell 'cause lyric translationsespanolturkcedeutschfrancaisall fill please gon hear make need hang children's true awake air sing wait everyone see might embed nick stock right also reindeer tree pole claus upon na saint tonight wo laughter really ring day 'm shin like magic underneath santa could even sound baby wan door thing ask much happy want bring stay stand tight n't send fireplace sleigh brightly;All I Want For Christmas Is You by Mariah Carey.txt
All Too Well;Taylor Swift;scarf light name counter something sweet crumple call cheek keep alone turn leave run photo go street paralyze red team love try story mail cruel cold else yeah masterpiece middle ever wide-eyed running innocence time 've round honest kitchen old gaze mother bed fine back oh okay sister get forget think real know rare one casually 'bout 'cause lyric upstate lie ca kid felt nothing little scar find make house need wellembed lose town long drawer fall hair air sing tee-ball first might disposition car lookin album 'til self stair almost also translation somehow break plaid tell promise place week wo twin-sized home remind autumn maybe day like 'm remember use magic night shirt 's past still 're dance even could enough door wind thing ask walk much tear fly glass paper 'd well refrigerator n't teach future rid smell translationsenglishhrvatskiportuguesenglishall picture piece;All Too Well by Taylor Swift.txt
All Your Life;The Band Perry;dress light bow run love firefly lately yeah center life edge let case 've wall mostly couple whole sand put would ocean get lyric fill yeahembed tux lamp tie sing might desperate girl also sun lonely catch like deliver jar thousand could song moon notice walk notion world obsession write want hand well n't piece;All Your Life by The Band Perry.txt
Alone With You;Jake Owen;mouth cant call alone lip say win edge laugh time slip put back would okay get kill know pill youre one lyric please likeembed gon drunk kiss shouldnt fall drunkyou see might matter also doesnt war youve tell body na chain cause dont like shirt friend door want stay hand every take;Alone With You by Jake Owen.txt
Amen;Edens Edge;shop light something beauty call high hide whoop leave front love girlfriend sayin 'll say come yeah blonde god jane someone give 've away head whole tube oh finally puff na-na would good thank get think spit lyric feeling hear drive stop daughter saw town powder na-na-na believe coma train son see might illinois right amen also na-na-naembed boy ya preacher mary farmer really like 'm glad 's cloud nobody could friend baby top jimmy stand holler reason n't rid mama hallelujah;Amen by Edens Edge.txt
Amen;Meek Mill;overdose woman murder light rise dress hold patron sunday keepin keep hard go lay hood bugatti lot wish sin say win 'll ball lettin child come yeah rep shit life god verse ice type care let church ghost test hit lotto ... young fresh ah couple forgive old whole back soul oh good liv thank niggas rollie get kill reposado pussy real think growin probation guy one puttin million pull 'bout lyin fuck collar lyric ciroc store secret illuminati dope step rack little make need livin' worry push bottle errtime pee ai float doin chill benjamin poppin finna prison boyfriend rapper moat carin phantom bear stackin count loanin basic wait scream might embed lookin family pretty goin coast serato caine man frito dealer amen money also peach tryna devil dollar y'all drink meek hater break tell fifty body na gold clock yes preach deck building i'ma waiter catch last fence cause talk spend thirty cray wet 'm like jump plane pray crib night shorty 'em 's lord ceiling bad magnum holy hope wealth could even enough spent becomin friend wan health roller follower top bitch much prayer watch stay buy corner big n't knock doa plus take nigga boat bout;Amen by Meek Mill.txt
Angel Eyes;Love;cant bonfire hold something sunday side heart leave gate wide theres eyesyou sexy crankin come yeah mornin mile innocence rockin shell smile would sent get start lyric rebel likeembed heaven stop daughter kiss little angel doubt star eye drivin sing might water choir aint also devil wild preacher crazy flirting like whiskey night must bit saturday tail dance shes feel dial country wonderin dreamin typical;Angel Eyes by Love.txt
Another Round;Fat Joe;light name freaky hold quit homegirl stomach leave shoe love us go handle sheet say yellow large come fast yeah throw wetter shit rolls-royce ice ever lovin hit round nakedembed ooh kinky playin resist back spine oh candle game get mine pussy think tore know nuvo ex peel mean fuck purchasin 'cause start lyric pink janet ca gon free drive dope beat heard make push lose weight ai transport tie long believe flaunt drippin bomb since kim shiver room might hesitate car man slam right girl k also stick somethin mad boy break tell foreign body na ego shake strong wo i'ma home last champ halloween tellin maybe diana lickin 'm like use alize way chocolate heroin dunk shawty 's bad end tremble oh-oh short 're never could gushy enough wrist baby stroke wan thing rihanna haha walk dirty bitch sex want kick badder mask sink state estate big well n't another every talkin take boat two-on-one;Another Round by Fat Joe.txt
Anything Could Happen;Ellie Goulding;name hold human grow hide youembed go try palette say 'll breath let give 've strip oh think know year darkness lyric cover secret everything wreck find need `` eye panic river fall since see might truth also war yes like anything 's '' could baby waist happen guess write together fight 'd n't color;Anything Could Happen by Ellie Goulding.txt
Are You Happy Now;Cassadee Pope;erase face something leave plate run empty come yeah care give 've away ooh would okay game blame get know pretend 'cause lie ca likeembed performance everything voice yeahh ai eye become might truth also break tell really 'm use 's yea-yea 're never ho-ho could walk happy want look lyricsnow n't take;Are You Happy Now by Cassadee Pope.txt
Around My Way (Freedom Aint Free);Lupe Fiasco;classroom africa side follow ottoman turn insert heart us handbag cocaine wish rap peace coke laugh ghost hit give tip mother hash racism refereeing internet garbage get nostril highly one million monopoly corporate plan hear pokeno shy lupe make report pine town neo jacket motherfuckin check awake marvel first ba'ath truth birthday nonsense reminiscent spa preacher baghdad yes cause day purple croissant chief like five parcel detroit wither straight short bone dance poor beer small starve emaciate blood fight oakland crucifix tv daft pedophilia human ta high mr. keep gas tyrant rich death bound say poverty project protest westside white mixed time manila all-white couple thriller flavor central breathe candle chest obsolescence calendar cash math catwalk heaven free mind find ghana sioux bunch model live depart see land gift aint money great problem trailer nowhere raise jackson video way pray dinosaur cadillacs chandler '' hope word feel absurd arrest suicide continental big every n't shame take hither americas nine blind lakota request resurrect go katrina ear everybody life toss god whats freedom casino list south year die sag horn stable jail rebel los privilege kid martin soon ai embassy till tag similar fall hair boil freud wine hostile embed stripper might man girl mad treat part shout last really manifested rule chocolate smithers example villa bad 're hell culture friend earth sex watch stay mask state blow connect sunday america class crime meth fast everywhere middle ... x ethic pay ridge whole slave d-boy bomber know krueger michael columbus dream lyric trail sign everything cell fulfilling prosperity separate burn need jordan `` 'round necklace vanilla set around malcolm fema american ratatat freddy also war dash hustling body city jet angeles grab baldwin ineffective 'm heel damage sandbag 's extreme unnecessary-ness song teacher pant baby tear gospel definition want left breakfast garbageman pour nigga especially;Around My Way (Freedom Aint Free) by Lupe Fiasco.txt
As Long As You Love Me;Justin Bieber;whoa face trust grass soldier greener keep b-i-g camera side heart chance love us go second cruel point 'll child broke yeah god someone fit give time people couple destiny back smile oh frown view get know ahead one u' dream 'cause start lyric stress sky ca always please beat step without make rather need `` ai long best true embed seven might water rendezvous man tryna girl also silver spell tell scene place gold though green day like limit billion use new 's sense work platinum issue cry 're '' even could feel baby shoot hey thing ask top world starve fly bother together hova want hand fight wing stand homeless 'd every n't take argue pressure hallelujah;As Long As You Love Me by Justin Bieber.txt
Ass Back Home;Gym Class Heroes;trust hold something bird call tough keep swallowin leave front chance go class love us sexy try half november yo travie 'll say come yeah life middle type care let uh-huh time 've month repeat amazing put back oh would okay fact get deserve know year one realize 'cause lyric sweetheart hear drive gym nothing make mama grant `` babyembed long waving key best beside december might right understand almost also wrong ya boy tell speak week city choke ahh home last bogusness cause hero talk close wallow day 'm like shitty 'em 's instruction 're never '' mat recall even apologize door coop baby miss walk fly alright yuck sometimes truly stand 'd every n't take;Ass Back Home by Gym Class Heroes.txt
Ayy Ladies;Travis Porter;itembed hoe mouth ta yuuup 'er call gentleman yee rich love go stack couch dead yo say broke slang yeah shit naw blunt let hit give headboard lil time showin wassup ah fresh head mic liquor strip judy old flo nuts put back good okay game thick get pussy real bend know meet 'bout bite fuck lyric pourin lie hole club hear hot gon heard also scar ayy make need mama ai check booty wouldnt lady hair air first fuss damn see might yeaaaah water g toe 'nem man dat tryna girl tamberine show money moet aint bankroll conan touch ya boy beg break tell pole earthquake tattoo shake grab green ladies really butt dont wet cup thigh 'm like shoulder naked night aw way shorty slap poke shawty bad end standing drank never already dance hell even could announce -- baby ask top dice bitch notch throwin bag look hand stay scratch fight mo spot holler cut drop tight oveeeer well big whip n't band another ho nigga fear swim;Ayy Ladies by Travis Porter.txt
Babel;Mumford;crumble nose call shouldve woo heart play watchman love go say ear laughing come breath ride bloody maskyou time pride wall slip choice grace know year stretch farce 'cause start lyric sky likeembed everything hear gon voice without build im town unborn believe weak ive live bear explain son see might around number also ill greed weakness thin perhaps part city body na weve press home cause arm day like along babel howl cloud youll cry never spent wind ask tear look glass mask stand well color nurture mountain;Babel by Mumford.txt
Back In Time;Pitbull;blind sweet canaveral ignorar mr. equal woo loss go try wish rope yeah flip white ride let raw uh-huh give time suit ooh wherever globe whole mover excuse worth back oh would okay get men know one lyric jigsaw stop mind build little movement make due save ray movie report despite tie palm si j huh matching ha-ha bury live shaker might thought land miami wit two right mk understand k go-getter number also ya y'all clothes spin understood wo ha oneembed bet like 'm cape billion halfway shirt syphe agent credit 's tryin boarder worldwide bit lo pit 're culture cent baby black world want hand fight groovy solve charles glass mask 'd big n't record-breaker future take latino;Back In Time by Pitbull.txt
Bad;Glee Cast;face mouth woah hide woo hwoah say come yeah stone let give ... tomorrow ah listen whole stuff oh good game mine kill get know three lyin lyric sky gon mind uh nothing make huuuuh doin long eye sayin' true count answer wait see embed might 'til man right change show also wrong tell place na though wo talk really butt 'm limit like slap 's bad dah lock 're cheap word could feel friend shoot daylight world watch throwin hand fight hurt n't shamone take broad;Bad by Glee Cast.txt
Bag Of Money;Wale;hoe ay hold something tease call fuckin fourteen hard threesome go say prowl come fast yeah throw pick yay shit ride let exactly mixed hit time bright ooh couple paint old birkin position put oh m-m-m-m-m-m-m-m-maybach good navel morning get real m-m-maybach know pill eight one mean 'bout fuck lyric phone dime always everything dick gon marijuana drive day rack kiss make find purse `` ai forever long levitate style murk temporary first tint count brown embed stripper might lookin 'til perc self right girl money also 'posed mad wrong boy missin' funny shout soda praise catch crash hah talk dont make-up hustle e'ry bet like 'm window line music aw dude open way 'em pop shawty hate 's work bad '' quite amount jag' word song baby stroke bitch blue bag look official dark big n't take nigga picture pass moment;Bag Of Money by Wale.txt
Baggage Claim;Miranda Lambert;woman name sweet pony call hard flame leave go lot 'll come habit pick shit hit drag luggage time 've trouble kinda good grip dog get lyric brick ca momma today everything gon sure obvious little make find sensitive town ai hang check pack embed set might around car baggage conveyor man ground show also problem claim na ego suitcase cause yard trip lost ticket arrive like 'm way scorn 's behind belt baby business bag hand kick trunk drop blow every n't carry take;Baggage Claim by Miranda Lambert.txt
Bait A Hook;Justin Moore;runnin umbrella heart love skin hook jack say 'll come suck throw field darlin summer ever old bait back stuff good rain get roads think know bore one meet daniel start lyric prius ca hear drive heard kiss kind worry buck saw town ai long interstate river melt fall hay sushi might two truck also buddy boy y'all drink book reelin green wo home smilin like line 's youll hookembed even worried song baby stream eatin country every n't take mama sound;Bait A Hook by Justin Moore.txt
Ball;TI;full hoe woman ay light face mouth section shine drill v.i ta keep woo none hard dyke turn tunechi play love go ferraris red fun lot stack ball come throw yeah stone ice blunt ride let raw horse care bloody muddy tip bar wall young motion wipe couple bucket whole slow back super packed good okay thick killin niggas dog get pussy pull lyric bundy club ca fire manicure stunt dick boosie free drunk frog gun uh deal im ayy make rapping donald bottle `` slim trump ai long poppin key rapper bust bunch ballin hair model roll may whatever air pack shaker embed might around pretty g toe right tryna girl aint show money mad also stick buddy novacaine ya drink hoppin break tell na thangs shake grab i'ma audemar spend chain talk cause flag lambos really trigger ticket day like yea molly way l piss open must 'em pop 's elevator bad hop behind fat '' meal dawg could aaliyah t.i. door wan baby thing haha walk bitch dice fly ted much bring mula look salt buy kick thang dart big every n't soulja rico take nigga ho;Ball by TI.txt
Bandz A Make Her Dance;Juicy J;twerking bandz chick income control rich leave atm go stack rubber say kod dome broke throw rent shit slide lovin hit give juicy condo showin pay couple strip paint put back niggas get pussy bend stretch one three cash mike-will-made-it 'bout dancin loan loose lyric start club dick hear gon ratchet banzs rack twenty im make need lucky ai long poppin j roof honey handsembed hair air stripper might lookin atlanta aint also money drink break pole vip tippin grab i'ma spend nasty clappin er'where dont wet like 'm use floor magic night crib poke 's shawty can't bad remote straight still short dance rollin shes cent song clap drug friend nia bitch bring bag hand trippy spill every n't band nigga;Bandz A Make Her Dance by Juicy J.txt
Bangarang;Skrillex;like 'm back ayo rowdy get toy might car givin still bass fun right feel fuck lyric also shout-shout-shout-shout-shout-shout boy bangarang eatin marble shout beat mwahembed bangin lose n't dip translationsportuguesbangarang ai;Bangarang by Skrillex.txt
Banjo;Rascal Flatts;cant isnt ta map leave run go yeah pick shack breath b couple old back smile thick get youre concrete lyric phone likeembed hear heaven four drive frog without kiss little banjoyou im wheel til find pavement lose `` go-go-go hidden beyond ive air yet might thought gps gettin cricket truck highway aint also jumble creek close road banjo jump way glad sick deep '' cross enough jungle baby hey exit satellite kick sometimes drop take piece;Banjo by Rascal Flatts.txt
Battle Scars;Lupe Fiasco UNCERTAIN;full zone hold heals keep shooting alone leave love go us nod try wish point say 'll win battleembed come yeah medic outweigh ever let uh-huh 've vest frontline medicine away fade alive armor fighter wound back oh within good lover locker forget know stupid one tom 'cause lyric phone stress hole sign fire gon stop felt beat uh hank scar `` ai battle best odds cupid drone scream see set might shield sharpen ground rifle tryna change also ruin war touch break tell body na shake arrow home maybe impossible close properly like 'm heal unknown tank 's post-traumatic work bad hop 're never hope '' enemy poem could feel song friend happen thing much write probably bring together look fight hurt spree n't another send fear;Battle Scars by Lupe Fiasco UNCERTAIN.txt
Beautiful;Carly Rae Jepsen;compare late run share try half wish say yeah breath rough away ooh destiny oh blame forget think know realize 'cause lyric feeling wonder always incomplete gon mind nothing twist scar make fate might around beautiful tryna also beginning somehow tell na hello mmmembed fair 'm like 's sense end nobody deep 're hell hope word could feel friend world perfect look sometimes hurt n't take;Beautiful by Carly Rae Jepsen.txt
Beauty And A Beat;Justin Bieber;ten bow ta beauty keep love street go tour come yeah life let hit time 've young ooh fine eat letter get mine forget know east 'bout ink 'cause lyric ether sign gon hot beat justin uh little make need incline nicki priest ayy-ayy-ayy eye minaj embed might selener wiener beautiful girl money show also ya confession decease body na party tonight i'ma bieber buns ticket like 'm billion line music 'em rrr complete 's rock 're never could feel baby wan whoa-oh-oh thing world bitch want buy beast big every move n't take;Beauty And A Beat by Justin Bieber.txt
Beer Money;Kip Moore;onembed light ta gas us go rocket come yeah field let speaker away morning get meet cash jail lyric hole taste stop kiss little foot make burn lucky town escape honey roll scream barely might around car money almost also stick drink pocket nowhere radio week sleep tonight last raise like 'm anything night 's work end 're never hell dance hope enough baby beer buy stay dark well blow every take wake;Beer Money by Kip Moore.txt
Beers Ago;Toby Keith;eighteen spendin'what gas fourteen heart love street go red lot second win ride drag homesick bar rattle-can tire head paint old yesterday bed whole pageant oh didnt letter view hopin get year hand-me-down youre one three meet seem lyric ohyou likeembed everything stop without jeff little sixty make skoal lucky town doin jacket skip sing stuck boys room might car man track two birthday right truck girl money almost highway also wrong main h boy drink caught jerry place fifty though spend railroad fifteen runner like way magic learn hundred wintergreen work bit ago cross poor could even song moon beer guitar tread blue look hand stay sixteen take bout;Beers Ago by Toby Keith.txt
Beez In The Trap;Nicki Minaj;player name pittsburgh bat bow dmv trouser harlem ohio translationsportuguesbeez outtie sayin rap yo say religion york yeah shit life pimp crack jersey let hit give 've wildin' couple connecticut bobby whole south put back cack brooklyn okay shittin niggas get north-south think hoboken spit know hulk swing joking fuck start lyric audi ca doohickey weave brick u-ie staten uh shuttin nothing iif biscuit need house nicki `` hogan weight ai period key bust true live hair deck arousal damn see might killer private a-town miami louis island man chainz girl money also ricky tell tru beez denim franklin home spend cause bronx like motherfucker 'm l molly kidney hella open thou orleans pop hundred new 'em drinkin public tryin 's detroit thinkin '' thousand loud smokin philly smoke top bitch delaware drop texas st. trap 'd big n't rip move queen lifeembed bay la chi-town bee-beez;Beez In The Trap by Nicki Minaj.txt
Begin Again;Taylor Swift;christmas high late mirror turn love wave story say headphone throw begin breath ever nice 've time head month chair taylor translationsespanolportuguesbegin put back strange get think know eight one meet pull early 'cause start lyric always kid shy little expect single burn wear movie help cafe first might car family hmm girl almost also comin james break funny tell na laughin spend last talk record wednesday like heel 'm block 's end againembed lock deep past thinkin never song wan many walk watch bring stand 'd every n't take;Begin Again by Taylor Swift.txt
Better Dig Two;The Band Perry;crutch name call death heart love go us knot dead 'll say else come meth stone white breath ever let someone hangman time six vow put back oh good coroner get mine one mean 'cause loose lyric lie dig gon heaven bind broken uh little foot make wear next wedding tie forever gravedigger first wait see might 'til two man ground right girl also tell part na wo last whose ring day like 'm whiskey divorce night 'em 's end hell read deadembed much together rite wed tight well n't take noose;Better Dig Two by The Band Perry.txt
Better Than I Know Myself;Adam Lambert;temper keep side bitter hard alone turn heart leave go try cold say obnoxious yeah ice near edge let time 've good would get winter know pretend one die tend 'cause lyric mind without need kind lose see december might truth matter also treat really day 'm along like way line myselfembed night far 's deep 're never cross could even thing world want sometimes dark n't;Better Than I Know Myself by Adam Lambert.txt
Better Than I Used To Be;Tim McGraw;hold ta bridge clean mirror heart leave theres lot habit let dirt 've people dust old put good uphill finally demon rain get faith know one lyric lie ca rust dig gon little angel im find need act grudge ai help long beembed honey ive count see might man two ground aint also devil break na wo pin 'm like use aw learn 's youll deep still dance diamond wan smoke climb stand n't send someday;Better Than I Used To Be by Tim McGraw.txt
Birthday Cake;Rihanna;name hide try 'll else come lick ... ooh chu put oh candle get know icing bite fuck lyric ca likeembed nothing make wait might birthday tryna right also ya body na cha enticing like way anything 's bad translationsespanolbirthday i'mma even baby wan bitch want bay-bay-bay-bay-uh exciting blow n't cake;Birthday Cake by Rihanna.txt
Birthday Song;2 Chainz;whoa greedy ten hold gucci practice call turn actress play leave front go boom hair-hair garage sweater snoop placeembed yo say religion yeezy come yeah salon shit everywhere breath workplace hit give ah pay couple 'ye kitchen jewelry referee different put back good cookin actin 'specially juug get yam deserve real year pill givin tech die west whistle graduation 'bout pakistan 'cause lyric kanye club store ca weave momma westin reachin everything today kid dope contest preachin uh kiss dj make need jokin `` brrrt next ai extendo key benz best huh check valet booty bury ballin fall true hair roll bomb niece first menage damn see might killer goin studio gettin two man chainz birthday girl serious also show y'all needy tell place pedestrian dre downstairs breathin last ha hah bmw yams 'm louis baow like crib coupe trapathon 'em holdin new truey deuce hate 's translationsfrancaisbirthday bad end clip '' merces payment switch song friend baby ask dro bitch movin want together hand touchin inside wrists big n't band asleep ho nigga tv skrr;Birthday Song by 2 Chainz.txt
Black Or White;Glee Cast;heehee face human tough woo none gang side go ow second sheet say come yeah life white dirt rough 've message ah ooh tire bright duller print race stuff oh get think nation one mean tale lyric club hee hear oooh uh protection scar rather agree brother either saw miracle ai eye believe true see embed might equality matter right girl also devil wrong war sun tell place yes tonight relation spend cause scale bet like 'm turf 's nobody saturday 're baby black happen business bang grief blood kick space 'd n't color take global;Black Or White by Glee Cast.txt
Blackout;Breathe Carolina;face keep relate leave go dyin pace say let time 've okay startedembed get start lyric phone ca fire stop nothing little need `` see might goin 'til gettin also wrong chase cab lung waste o-o-on wo blackout catch like 'm way 's cigarette 're '' harder feel top hand inhale n't;Blackout by Breathe Carolina.txt
Blow Me (One Last Kiss);P!nk;full ignorance dress hold call alone trick leave us go knot rope sin say 'll shit life kissembed white clear let laugh nice 've pay head back bliss breathe finally good get knuckle think one die fighting mean 'cause lyric lie fire ca always please dick drunk kiss nothing burn worry `` sorry battle tie palm eye hang might tryna serious also spin sleep grab tonight wo da home last maybe clench dear somebody day 'm like whiskey anything jaw longer sick 's bad cry short 're '' dance shut enough miss tear much want look headache sweaty tight blow another n't crystal take la;Blow Me (One Last Kiss) by P!nk.txt
Blown Away;Carrie Underwood;sweet call oklahoma board leave theres couch sin daddy crack memory people away listen old yesterday siren dry rain weatherman mean screamin lyric sky brick tear-soaked hear nothing angel house nail across blown eye mister might 'til ground slam also lightning awayembed shatter shelter window like whiskey laid storm pray revenge twister 's cloud lock standing past enough cellar wind door left gather wash blow every rip take pass mama;Blown Away by Carrie Underwood.txt
Blunt Blowin;Lil Wayne;polo-drawers-showin' crumble blind name light skinny grow eyelid yea call high ugh hooker turn rich false hate-free outside death ym us love go dead yo say richard mob yeah shit everybody life blunt stunna freedom time 've wall young choice pay weezy supras decision hummingbird put back feather good scissors eastside dot ocean lover get know nevermind one die dream fuck crumb pas fatter gunpowder lyric motherfucker teeth sky edward kutcher vision blowin drive puke weather damu make need limit movie slim eating glow weight powder label babyembed long deebowin' pusher blunt-blowin bust bunch true live butcher meat see might land bullshit natural 'til hourglass matter two right man flour girl change shade money sell stick wrong also memorize y'all table hater pocket na hello mistake surprise home last cause talk close belly hum hour day like 'm faker shoulder line i-don't-give-a-lovely-motherfuck-ass-nigga clot piru learn 'em new hate 's bad deep behind past still 're never cheap bum could wallpaper shoot wan many ask top script sit bus bitch mula watch want bag perfect look hand stay buy blood cookie beast hurt ashton eavesdrop cut drop hail beach big n't future take grin nigga welcome;Blunt Blowin by Lil Wayne.txt
Both Of Us;BoB;tall cant hold ta actor high side mold hadnt play run us go hollywood tide foolishness wish say thats ball drown blueprint rent yeah pick everybody life madness ever care whats time 've usembed bobby low would grip uphill get think askin' youre one 'bout 'cause lyric wonder always everything build uh single im make landlord due find lose act ray battle cost ladder paddle odds live underdog might nosebleed person puddle matter ol ground tryna number money aint draft sincerely also id pain y'all clothes tell fridge speak na yall lift food though green strong struggle fence crowd talk uhh maybe really choose sea day like shoulder pattern way open new 's underneath deep straight still even could enough feel song wind wan thing hey much climb write look buy sometimes stand thatve every whip another nigga boat shallow grass;Both Of Us by BoB.txt
Boyfriend;Justin Bieber;shine snow call keep gentleman alone leave chance love go girlfriend twirl hook 'll say yeah ever let buzz give bright ooh globe oh eat get know burr youre three 'cause lyric fire everything voice uh make need swaggy across falsetto laying na-na-na boyfriendembed boyfriend swag might the-the-the goin two man right girl aint money also treat boy spin tell place week na crazy hello i'ma spend talk really arm like whirl anything fondue chillin end 're never already dance could baby wan wind hey fly world want hand fight 'd blow n't take lightyear;Boyfriend by Justin Bieber.txt
